nom,prenom,filière,Campus,Annee,email
Natka,Tiffa,GDesign,Bordeaux,M1,Natka.Tiffa@ican-school.com
Jeanna,Bendick,GProgramming,Bordeaux,2A,Jeanna.Bendick@ican-school.com
Ninnetta,Mendez,GArt,Paris,2A,Ninnetta.Mendez@ican-school.com
Norine,Fosque,Animation,Lille,M1,Norine.Fosque@ican-school.com
Leia,Ramona,Animation,Lyon,1A,Leia.Ramona@ican-school.com
Britte,Karna,GProgramming,Bordeaux,2A,Britte.Karna@ican-school.com
Kathy,Nerita,Communication,Bordeaux,M2,Kathy.Nerita@ican-school.com
Ethel,Charity,Animation,Paris,M2,Ethel.Charity@ican-school.com
Devina,Adalbert,GProgramming,Paris,M2,Devina.Adalbert@ican-school.com
Therine,Tremayne,Communication,Lyon,M1,Therine.Tremayne@ican-school.com
Elka,Fairweather,GDesign,Bordeaux,2A,Elka.Fairweather@ican-school.com
Berget,Wareing,Concept Art,Remote,2A,Berget.Wareing@ican-school.com
Queenie,Belldas,GArt,Bordeaux,M1,Queenie.Belldas@ican-school.com
Queenie,Verger,Communication,Lyon,3A,Queenie.Verger@ican-school.com
Genevra,Wilkinson,GDesign,Bordeaux,M2,Genevra.Wilkinson@ican-school.com
Amii,Carleen,GProgramming,Lille,M2,Amii.Carleen@ican-school.com
Donetta,Creamer,Communication,Bordeaux,M2,Donetta.Creamer@ican-school.com
Madelle,Earlie,Animation,Remote,M2,Madelle.Earlie@ican-school.com
Cam,Rad,GDesign,Remote,3A,Cam.Rad@ican-school.com
Gisela,Gualtiero,Concept Art,Lyon,2A,Gisela.Gualtiero@ican-school.com
Meriel,Erich,Animation,Lyon,M2,Meriel.Erich@ican-school.com
Elyssa,Reneta,GArt,Remote,2A,Elyssa.Reneta@ican-school.com
Marti,Kussell,GDesign,Bordeaux,3A,Marti.Kussell@ican-school.com
Bobbi,Pattin,GArt,Bordeaux,1A,Bobbi.Pattin@ican-school.com
Ermengarde,Mauer,Concept Art,Lyon,1A,Ermengarde.Mauer@ican-school.com
Charmaine,Wilona,GProgramming,Bordeaux,1A,Charmaine.Wilona@ican-school.com
Violet,Natalia,Narrative Design,Paris,1A,Violet.Natalia@ican-school.com
Lila,Carri,GDesign,Bordeaux,M1,Lila.Carri@ican-school.com
Roseline,Anton,GArt,Lille,M1,Roseline.Anton@ican-school.com
Annabela,Septima,Narrative Design,Bordeaux,M1,Annabela.Septima@ican-school.com
Corly,Zaslow,Concept Art,Bordeaux,1A,Corly.Zaslow@ican-school.com
Harrietta,Juan,Narrative Design,Paris,M2,Harrietta.Juan@ican-school.com
Priscilla,Wilona,Concept Art,Bordeaux,3A,Priscilla.Wilona@ican-school.com
Stevana,Nunci,Animation,Remote,M1,Stevana.Nunci@ican-school.com
Halette,Fitzsimmons,Communication,Bordeaux,3A,Halette.Fitzsimmons@ican-school.com
Marika,Scammon,Communication,Remote,M2,Marika.Scammon@ican-school.com
Carmela,Barrus,Narrative Design,Paris,3A,Carmela.Barrus@ican-school.com
Meghann,Rubie,Communication,Lille,M2,Meghann.Rubie@ican-school.com
Mariele,Bluh,GArt,Paris,1A,Mariele.Bluh@ican-school.com
Aubrie,Eiser,GDesign,Lyon,M2,Aubrie.Eiser@ican-school.com
June,Marcellus,GArt,Lille,M2,June.Marcellus@ican-school.com
Elfreda,Grobe,GProgramming,Remote,M2,Elfreda.Grobe@ican-school.com
Shauna,Mozelle,GDesign,Paris,2A,Shauna.Mozelle@ican-school.com
Nickie,Sisile,GDesign,Bordeaux,3A,Nickie.Sisile@ican-school.com
Kamilah,Howlyn,GArt,Remote,1A,Kamilah.Howlyn@ican-school.com
Sarette,Daveta,GArt,Lille,3A,Sarette.Daveta@ican-school.com
Leeanne,Croix,GArt,Bordeaux,2A,Leeanne.Croix@ican-school.com
Raf,Norvol,Communication,Lille,M2,Raf.Norvol@ican-school.com
Lily,Nisbet,Concept Art,Lille,M2,Lily.Nisbet@ican-school.com
Daune,Billye,GProgramming,Bordeaux,3A,Daune.Billye@ican-school.com
Queenie,Mandler,Narrative Design,Remote,M1,Queenie.Mandler@ican-school.com
Alexine,Jorgan,Animation,Lille,3A,Alexine.Jorgan@ican-school.com
